time_s,temperature_C,pwm,heat_cool
60.3,32.33,213,1
60.42,32.58,213,1
60.54,32.82,214,1
60.66,33.07,213,1
60.79,33.31,213,1
60.91,33.55,213,1
61.03,33.8,213,1
61.15,34.04,213,1
61.28,34.28,213,1
61.4,34.53,213,1
61.52,34.77,213,1
61.64,35.01,213,1
61.76,35.25,213,1
61.89,35.5,213,1
62.01,35.74,213,1
62.13,35.98,213,1
62.25,36.22,213,1
62.38,36.47,213,1
62.5,36.71,213,1
62.62,36.95,213,1
62.74,37.18,213,1
62.87,37.43,213,1
62.99,37.66,213,1
63.11,37.9,213,1
63.23,38.14,213,1
63.36,38.37,213,1
63.48,38.61,213,1
63.6,38.84,213,1
63.72,39.07,213,1
63.84,39.31,213,1
63.97,39.54,213,1
64.09,39.77,213,1
64.21,40.01,213,1
64.33,40.23,213,1
64.46,40.47,213,1
64.58,40.71,213,1
64.7,40.94,213,1
64.82,41.16,213,1
64.95,41.38,213,1
65.07,41.62,213,1
65.19,41.84,213,1
65.31,42.07,213,1
65.43,42.3,213,1
65.56,42.52,213,1
65.68,42.74,213,1
65.8,42.96,213,1
65.92,43.19,213,1
66.05,43.41,213,1
66.17,43.62,213,1
66.29,43.84,213,1
66.41,44.06,213,1
66.54,44.28,213,1
66.66,44.5,213,1
66.78,44.71,213,1
66.9,44.92,213,1
67.02,45.14,213,1
67.15,45.36,213,1
67.27,45.58,213,1
67.39,45.79,213,1
67.51,46.01,213,1
67.64,46.2,213,1
67.76,46.42,213,1
67.88,46.63,213,1
68.0,46.83,213,1
68.13,47.04,213,1
68.25,47.25,213,1
68.37,47.46,213,1
68.49,47.66,213,1
68.62,47.88,213,1
68.74,48.08,213,1
68.86,48.28,213,1
68.98,48.47,213,1
69.11,48.69,214,1
69.23,48.88,213,1
69.35,49.09,213,1
69.47,49.28,213,1
69.59,49.48,213,1
69.72,49.71,213,1
69.84,49.89,213,1
69.96,50.09,213,1
70.08,50.28,213,1
70.21,50.48,213,1
70.33,50.68,213,1
70.45,50.87,213,1
70.57,51.07,213,1
70.69,51.26,213,1
70.82,51.47,213,0
70.94,51.66,213,0
71.06,51.84,213,0
71.18,52.03,213,0
71.31,52.2,213,0
71.43,52.38,213,0
71.55,52.59,213,0
71.67,52.67,214,0
71.8,51.89,213,0
71.92,52.86,213,0
72.04,51.59,213,0
72.16,49.45,214,0
72.29,49.67,214,0
72.41,52.07,213,0
72.53,51.28,213,0
72.65,50.88,214,0
72.77,50.7,214,0
72.9,52.24,213,0
73.02,53.08,213,0
73.14,53.05,213,0
73.26,53.11,212,0
73.39,53.03,213,0
73.51,50.43,213,0
73.63,50.47,214,0
73.75,50.19,214,0
73.88,49.6,213,0
74.0,48.77,213,0
74.12,48.8,213,0
74.24,48.41,212,0
74.36,52.09,213,0
74.49,51.91,213,0
74.61,51.14,213,0
74.73,50.63,213,0
74.86,50.8,213,0
74.98,50.31,214,0
75.1,50.49,212,0
75.22,51.4,213,0
75.34,51.75,213,0
75.47,51.49,213,0
75.59,51.35,213,0
75.71,51.23,213,0
75.83,51.09,213,0
75.96,50.96,213,0
76.08,50.84,213,0
76.2,50.7,213,0
76.32,50.57,213,0
76.44,50.43,213,0
76.57,50.29,213,0
76.69,50.15,213,0
76.81,50.01,213,0
76.93,49.88,213,0
77.06,49.74,213,0
77.18,49.59,213,0
77.3,49.46,213,0
77.42,49.31,213,0
77.55,49.16,213,0
77.67,49.02,213,0
77.79,48.88,213,0
77.91,48.73,213,0
78.04,48.58,213,0
78.16,48.43,213,0
78.28,48.29,213,0
78.4,48.14,213,0
78.52,48.0,213,0
78.65,47.85,213,0
78.77,47.71,213,0
78.89,47.55,213,0
79.01,47.41,213,0
79.14,47.26,213,0
79.26,47.11,213,0
79.38,46.97,213,0
79.5,46.82,213,0
79.63,46.67,213,0
79.75,46.53,213,0
79.87,46.38,213,0
79.99,46.24,213,0
80.11,46.1,213,0
80.24,45.95,213,0
80.36,45.8,213,0
80.48,45.65,213,0
80.61,45.51,213,0
80.73,45.36,213,0
80.85,45.22,213,0
80.97,45.08,213,0
81.09,44.94,213,0
81.22,44.79,213,0
81.34,44.65,213,0
81.46,44.52,213,0
81.58,44.37,213,0
81.7,44.23,213,0
81.83,44.09,213,0
81.95,43.95,213,0
82.07,43.81,213,0
82.19,43.68,213,0
82.32,43.54,213,0
82.44,43.4,213,0
82.56,43.26,213,0
82.68,43.14,213,0
82.81,43.0,213,0
82.93,42.86,213,0
83.05,42.73,213,0
83.17,42.59,213,0
83.3,42.46,214,0
83.42,42.33,213,0
83.54,42.17,213,0
83.66,42.06,213,0
83.79,41.95,213,0
83.91,41.8,214,0
84.03,41.64,213,0
84.15,41.52,213,0
84.27,41.44,213,0
84.4,41.29,213,0
84.52,41.13,213,0
84.64,41.03,213,0
84.76,40.87,213,0
84.89,40.77,213,0
85.01,40.66,213,0
85.13,40.53,213,0
85.25,40.42,213,0
85.38,40.29,213,0
85.5,40.17,213,0
85.62,40.05,213,0
85.74,39.93,213,0
85.86,39.8,213,0
85.99,39.68,213,0
86.11,39.58,213,0
86.23,39.45,213,0
86.35,39.35,213,0
86.48,39.22,213,0
86.6,39.1,213,0
86.72,38.99,213,0
86.84,38.88,213,0
86.97,38.76,213,0
87.09,38.65,213,0
87.21,38.54,214,0
87.33,38.43,213,0
87.45,38.31,213,0
87.58,38.21,213,0
87.7,38.1,213,0
87.82,37.98,213,0
87.94,37.88,213,0
88.07,37.76,213,0
88.19,37.66,213,0
88.31,37.54,213,0
88.43,37.43,213,0
88.56,37.32,213,0
88.68,37.22,213,1
88.8,37.12,213,1
88.92,37.01,213,1
89.05,36.91,213,1
89.17,36.82,213,1
89.29,36.76,213,1
89.41,36.7,213,1
89.54,36.67,213,1
