time_s,temperature_C,pwm,heat_cool
8.92,27.44,213,0
9.05,27.44,213,0
9.17,27.44,213,0
9.29,27.44,213,0
9.41,27.44,213,0
9.53,27.44,213,0
9.66,27.44,213,0
9.78,27.44,213,0
9.9,27.44,213,0
10.02,27.44,213,0
10.15,27.45,213,0
10.27,27.45,213,0
10.39,27.45,213,0
10.51,27.46,213,0
10.64,27.46,213,0
10.76,27.47,213,0
10.88,27.47,213,0
11.0,27.48,213,0
11.13,27.48,213,0
11.25,27.49,213,0
11.37,27.49,213,0
11.49,27.5,213,0
11.61,27.5,213,0
11.74,27.5,213,0
11.86,27.5,213,0
11.98,27.51,213,0
12.1,27.51,213,0
12.23,27.51,213,0
12.35,27.51,213,0
12.47,27.51,213,0
12.59,27.51,213,0
12.72,27.51,213,0
12.84,27.51,213,0
12.96,27.51,213,0
13.08,27.52,213,0
13.21,27.51,213,0
13.33,27.52,213,0
13.45,27.51,213,0
13.57,27.52,213,0
13.69,27.52,213,0
13.82,27.52,213,0
13.94,27.52,213,0
14.06,27.52,213,0
14.18,27.52,213,0
14.31,27.52,213,0
14.43,27.52,213,0
14.55,27.52,213,0
14.67,27.52,213,0
14.8,27.52,213,0
14.92,27.52,213,0
15.04,27.52,213,0
15.16,27.52,213,0
15.28,27.52,213,0
15.41,27.52,213,0
15.53,27.52,213,0
15.65,27.52,213,0
15.77,27.52,213,0
15.9,27.52,213,0
16.02,27.52,213,0
16.14,27.52,213,0
16.26,27.52,213,0
16.39,27.52,213,0
16.51,27.52,213,0
16.63,27.53,213,0
16.75,27.53,213,0
16.87,27.53,213,0
17.0,27.54,213,0
17.12,27.54,213,0
17.24,27.55,213,0
17.36,27.55,213,0
17.49,27.56,213,0
17.61,27.56,213,0
17.73,27.56,213,0
17.85,27.57,213,0
17.98,27.57,213,0
18.1,27.57,213,0
18.22,27.58,213,0
18.34,27.58,213,0
18.47,27.59,213,0
18.59,27.59,213,0
18.71,27.59,213,0
18.83,27.59,213,0
18.95,27.59,213,0
19.08,27.59,213,0
19.2,27.59,213,0
19.32,27.59,213,0
19.44,27.59,213,0
19.57,27.59,213,0
19.69,27.59,213,0
19.81,27.59,213,0
19.93,27.59,213,0
20.06,27.59,213,0
20.18,27.59,213,0
20.3,27.59,213,0
20.42,27.59,213,0
20.55,27.59,213,0
20.67,27.59,213,0
20.79,27.59,213,0
20.91,27.59,213,0
21.03,27.6,213,0
21.16,27.6,213,0
21.28,27.6,213,0
21.4,27.6,213,0
21.52,27.6,213,0
21.65,27.59,213,0
21.77,27.6,213,0
21.89,27.6,213,0
22.01,27.6,213,0
22.14,27.6,213,0
22.26,27.6,213,0
22.38,27.6,213,0
22.5,27.6,213,0
22.63,27.6,213,0
22.75,27.6,213,0
22.87,27.6,213,0
22.99,27.6,213,0
23.11,27.6,213,0
23.24,27.6,213,0
23.36,27.6,213,0
23.48,27.61,213,0
23.6,27.62,213,0
23.73,27.63,213,0
23.85,27.63,213,0
23.97,27.64,213,0
24.09,27.64,213,0
24.22,27.65,213,0
24.34,27.66,213,0
24.46,27.65,213,0
24.58,27.65,213,0
24.71,27.65,213,0
24.83,27.66,213,0
24.95,27.66,213,0
25.07,27.67,213,0
25.19,27.67,213,0
25.32,27.67,213,0
25.44,27.67,213,0
25.56,27.67,213,0
25.68,27.67,213,0
25.81,27.67,213,0
25.93,27.67,213,0
26.05,27.67,213,0
26.17,27.67,213,0
26.3,27.67,213,0
26.42,27.67,213,0
26.54,27.67,213,0
26.66,27.67,213,0
26.78,27.67,213,0
26.91,27.67,213,0
27.03,27.67,213,0
27.15,27.67,213,0
27.27,27.67,213,0
27.4,27.67,213,0
27.52,27.67,213,0
27.64,27.67,213,0
27.76,27.67,213,0
27.89,27.67,213,0
28.01,27.67,213,0
28.13,27.67,213,0
28.25,27.67,213,0
28.38,27.67,213,0
28.5,27.67,213,0
28.62,27.67,213,0
